Node_ID,Elevation_Smoothen_ft,Curve_Current_degrees,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Cumulative_Length_ft
135,810.5382143,0.23638,POINT (-79.773 36.07116),-79.773,36.07116,0,0,0,6750
136,810.6450286,3.36596,POINT (-79.7728 36.07118),-79.7728,36.07118,0,0,0,6800
137,810.7611571,0.00072,POINT (-79.7727 36.07121),-79.7727,36.07121,0,0,0,6850
138,810.8970286,0,POINT (-79.7726 36.07123),-79.7726,36.07123,0,0,0,6900
139,811.0254429,0.00072,POINT (-79.7724 36.07125),-79.7724,36.07125,0,0,0,6950
140,811.1754429,0.00072,POINT (-79.7723 36.07128),-79.7723,36.07128,0,0,0,7000
141,811.3310143,0.00016,POINT (-79.7722 36.0713),-79.7722,36.0713,0,0,0,7050
142,811.5052286,0.00016,POINT (-79.772 36.07133),-79.772,36.07133,0,0,0,7100
143,811.7207143,0.00072,POINT (-79.7719 36.07135),-79.7719,36.07135,0,0,0,7150
144,811.9338429,0.00072,POINT (-79.7718 36.07138),-79.7718,36.07138,0,0,0,7200
145,812.1515,0,POINT (-79.7716 36.0714),-79.7716,36.0714,0,0,0,7250
146,812.3669429,0.00072,POINT (-79.7715 36.07142),-79.7715,36.07142,0,0,0,7300
147,812.5564714,0.00072,POINT (-79.7714 36.07145),-79.7714,36.07145,0,0,0,7350
148,812.7572,0,POINT (-79.7712 36.07147),-79.7712,36.07147,0,0,0,7400
149,812.9396857,0.00072,POINT (-79.7711 36.0715),-79.7711,36.0715,0,0,0,7450
150,812.0732286,0.00072,POINT (-79.771 36.07152),-79.771,36.07152,0,0,0,7500
151,809.8880286,0,POINT (-79.7708 36.07155),-79.7708,36.07155,0,0,0,7550
152,809.8503429,0.00072,POINT (-79.7707 36.07157),-79.7707,36.07157,0,0,0,7600
153,809.946,0.00072,POINT (-79.7706 36.07159),-79.7706,36.07159,0,0,0,7650
154,810.0715857,0,POINT (-79.7704 36.07162),-79.7704,36.07162,0,1,0,7700
155,810.1663857,0.00072,POINT (-79.7703 36.07164),-79.7703,36.07164,0,0,0,7750
156,810.2456857,2.89586,POINT (-79.7702 36.07167),-79.7702,36.07167,0,0,0,7800
157,811.3209286,0.36108,POINT (-79.77 36.07169),-79.77,36.07169,0,0,0,7850
158,813.6769286,0.00056,POINT (-79.7699 36.07172),-79.7699,36.07172,0,0,0,7900
159,813.8689429,0.00018,POINT (-79.7698 36.07175),-79.7698,36.07175,0,0,0,7950
