origin_date,last_updated,name,number,longitude,latitude,speed,geometry
2024-01-19,1705694516,Piedmont,75,-80.007663,35.956756,9.76,POINT (-80.007663 35.956756)
2024-01-31,1706730798,Piedmont,75,-80.007411,35.956779,0.02,POINT (-80.007411 35.956779)
2024-01-30,1706652686,Piedmont,77,-80.007381,35.956787,0.0,POINT (-80.007381 35.956787)
2024-01-27,1706394551,Piedmont,77,-80.007404,35.956787,0.01,POINT (-80.007404 35.956787)
2024-01-28,1706471758,Piedmont,75,-80.007373,35.956798,0.0,POINT (-80.007373 35.956798)
2024-01-21,1705864909,Piedmont,72,-80.007556,35.956806,0.0,POINT (-80.007556 35.956806)
2023-12-24,1703455763,Piedmont,77,-80.00735,35.956806,0.24,POINT (-80.00735 35.956806)
2024-01-28,1706480241,Piedmont,77,-80.00735,35.956817,0.0,POINT (-80.00735 35.956817)
2024-01-22,1705953714,Piedmont,75,-80.007343,35.956817,0.0,POINT (-80.007343 35.956817)
2024-01-25,1706187730,Carolinian,80,-80.007343,35.956821,0.0,POINT (-80.007343 35.956821)
2024-01-25,1706269811,Crescent,20,-80.007564,35.956836,11.09,POINT (-80.007564 35.956836)
2024-01-19,1705702262,Piedmont,77,-80.007312,35.956836,0.02,POINT (-80.007312 35.956836)
2024-01-21,1705867316,Piedmont,75,-80.007472,35.956836,0.0,POINT (-80.007472 35.956836)
