Speed_mph,Curve_CUR_degree,Curve_Max_FOL_500ft_degree,Curve_Max_FOL_500_1kft_degree,Curve_Max_FOL_1k_1k5ft_degree,Curve_Max_FOL_1k5_2kft_degree,Curve_Max_FOL_2k_2k5ft_degree,Curve_Max_PRE_500ft_degree,Curve_Max_PRE_500_1kft_degree,Curve_Max_PRE_1k_1k5ft_degree,Curve_Max_PRE_1k5_2kft_degree,Curve_Max_PRE_2k_2k5ft_degree,Elev_Delta_CUR_ft,Elev_Delta_FOL_500ft_ft,Elev_Delta_FOL_500_1kft_ft,Elev_Delta_FOL_1k_1k5ft_ft,Elev_Delta_FOL_1k5_2kft_ft,Elev_Delta_FOL_2k_2k5ft_ft,Elev_Delta_PRE_500ft_ft,Elev_Delta_PRE_500_1kft_ft,Elev_Delta_PRE_1k_1k5ft_ft,Elev_Delta_PRE_1k5_2kft_ft,Elev_Delta_PRE_2k_2k5ft_ft,Distance_to_FOL_Intersection,Distance_to_FOL_Station,Distance_to_FOL_Switch,Distance_to_PRE_Intersection,Distance_to_PRE_Station,Distance_to_PRE_Switch
47.05,0.00076,14.59428,12.82246,2.05012,1.16302,0.00104,19.26312,13.2766,8.6822,0.941,1.4162,-0.9817285999999967,-0.6750143000000435,-0.18611420000002,-0.8814714000000095,-0.620742899999982,-0.6783143000000109,-0.3635285999999951,-0.4208000000000993,-0.25634279999997034,0.1556286,4.288942899999938,7600,0,0,2350,0,0
51.26,1.30096,9.60296,14.8648,11.39358,13.57834,6.92622,6.17422,4.6482,1.2506,0.8122,0.7414,-1.0930429000000004,-0.5065143000000489,0.35565710000003037,0.7294713999999658,0.25605709999996407,-0.16472849999996697,-0.8809714999999869,-0.4312570999999821,-0.410585699999956,-0.5271999999999935,-0.5860713999999803,1550,0,0,5550,0,0
52.71,2.50116,14.8648,11.39358,13.57834,6.92622,0.00044,9.60296,6.17422,4.6482,1.2506,0.0006,-0.9718284999999582,0.2258572000000072,0.7294713999999658,0.4061999999999557,0.1768570999999497,-0.16752859999996872,-0.5065143000000489,-0.7847142999999619,-0.410585699999956,-0.4888000000000261,-0.5667285999999763,1150,0,0,5950,0,0
51.3,0.0,14.8648,11.39358,13.57834,6.92622,5.16008,9.60296,6.17422,4.6482,1.2506,0.8122,-1.2887857000000054,0.35565710000003037,0.7294713999999658,0.25605709999996407,-0.16472849999996697,-0.16752859999996872,-0.5065143000000489,-0.8809714999999869,-0.4312570999999821,-0.410585699999956,-0.5271999999999935,1050,0,0,6050,0,0
55.23,0.001,0.001,6.834,3.0698,11.2558,5.8212,0.6372,4.858,13.9544,9.2752,2.9938,-0.36110000000002174,-0.3066857000000027,-0.08331429999998363,6.935942900000043,7.346828600000038,-0.050399999999967804,-0.40461429999999154,-0.5041286000000014,-0.4013143000000241,2.5017286000000354,0.387228499999992,1350,0,0,2150,0,0
51.96,0.0006,0.6372,0.001,6.834,10.251,11.2558,0.001,5.3902,13.9544,9.2752,5.19,-0.5632572000000096,-0.3066857000000027,-0.31681430000003274,-0.08331429999998363,7.346828600000038,4.745857200000046,-0.5041286000000014,-0.4013143000000241,0.0015857000000210064,2.5017286000000354,-0.8027858000000379,1650,0,0,1850,0,0
54.72,0.0006,0.2664,0.6372,0.0012,6.834,11.2558,4.858,13.9544,9.2752,5.19,0.3678,-0.5041286000000014,-0.4156285999999909,-0.3066857000000027,-0.10925709999997935,-0.08331429999998363,7.346828600000038,-0.5184285999999929,-0.4013143000000241,2.5017286000000354,-0.9686143000000129,-0.7498999999999683,1950,0,0,1550,0,0
51.6,4.858,0.001,0.6372,0.001,6.834,10.251,5.3902,13.9544,9.2752,5.19,0.3678,-0.8159856999999988,-0.5041286000000014,-0.3066857000000027,-0.31681430000003274,-0.08331429999998363,7.346828600000038,-0.4013143000000241,0.0015857000000210064,2.5017286000000354,-0.7705571000000191,-0.6970858000000248,2200,0,0,1300,0,0
53.73,0.0006,5.3902,0.001,0.6372,0.001,6.834,13.9544,9.2752,5.19,0.3678,2.0702,-0.49344279999996843,-0.4013143000000241,-0.5041286000000014,-0.3066857000000027,-0.31681430000003274,-0.08331429999998363,0.0015857000000210064,2.5017286000000354,-0.8027858000000379,-0.6970858000000248,-0.7504571000000055,2650,0,0,850,0,0
52.36,0.0004,13.9544,5.3902,0.001,0.6372,0.001,9.2752,5.19,0.3678,2.0702,7.388,-0.08809999999999718,0.0015857000000210064,-0.4013143000000241,-0.5041286000000014,-0.3066857000000027,-0.31681430000003274,2.5017286000000354,-0.7705571000000191,-0.6970858000000248,-0.7879143000000113,0.004642900000021655,3200,0,0,300,0,0
