Speed_mph,Elevation_Smoothen_ft,Curve_Current_degrees,Curve_Max_Preceding_250ft_degrees,Curve_Max_Following_250ft_degrees,Elev_Delta_CUR_ft,Elev_Delta_PRE_ft,Elev_Delta_FOL_ft,Distance_to_Key_Nodes_FOL,Distance_to_Key_Nodes_PRE,Station,Intersection,Switch,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Intersection_dist,Station_dist,Node_ID,Cumulative_Length_ft
17.04,834.6118143,0.00018,0.00074,1.274,0.5579857000000175,6.317000000000007,0.6104428999999527,800.0,250.0,1,0,0,POINT (-79.78464 36.069168),-79.7846,36.06912,0,0,0,2050.0,800.0,48,714600
14.13,827.9559714,0.00056,2.69908,1.274,6.317000000000007,6.317000000000007,6.295157200000062,950.0,100.0,1,0,0,POINT (-79.78423599999998 36.069266999999996),-79.7842,36.0692,0,0,0,2200.0,950.0,51,714450
29.46,824.2603286,0.00056,2.69908,0.00074,0.6547857000000477,0.6547857000000477,6.317000000000007,50.0,50.0,0,1,0,POINT (-79.78379399999999 36.069323999999995),-79.7838,36.06927,0,0,0,50.0,1100.0,54,714300
42.74,823.0417857,0.00054,0.0009,0.0009,0.8142714000000524,0.9265000000000327,3.155300000000011,50.0,1200.0,0,1,0,POINT (-79.78093999999999 36.069797),-79.7809,36.0698,0,0,0,50.0,2200.0,76,713200
47.17,823.9876571,0.0009,0.0009,0.0009,-1.671971400000075,0.9846714000000247,0.9265000000000327,200.0,1050.0,0,1,0,POINT (-79.78049 36.069888999999996),-79.7805,36.06988,0,0,0,200.0,2350.0,79,713050
50.39,815.2900143,0.79402,2.86856,0.00058,0.8885713999999325,1.318628600000011,0.8675427999999101,50.0,2650.0,0,1,0,POINT (-79.77747599999998 36.070377),-79.7775,36.07039,0,0,0,50.0,3450.0,101,711950
54.16,815.6970143,0.0,2.86856,0.00058,0.8675427999999101,1.318628600000011,0.8295856999999387,0.0,0.0,0,1,0,POINT (-79.77760599999999 36.070377),-79.7777,36.07037,0,1,0,0.0,3400.0,100,712000
51.01,815.2900143,0.79402,2.86856,0.00058,0.8885713999999325,1.318628600000011,0.8675427999999101,50.0,2650.0,0,1,0,POINT (-79.77759099999999 36.070387999999994),-79.7775,36.07039,0,0,0,50.0,3450.0,101,711950
50.01,815.2900143,0.79402,2.86856,0.00058,0.8885713999999325,1.318628600000011,0.8675427999999101,50.0,2650.0,0,1,0,POINT (-79.77747599999998 36.070407),-79.7775,36.07039,0,0,0,50.0,3450.0,101,711950
31.24,814.8084429,2.86856,0.0009,0.79402,1.1021143000000393,1.318628600000011,0.8885713999999325,100.0,2600.0,0,1,0,POINT (-79.777415 36.070419),-79.7774,36.07041,0,0,0,100.0,3500.0,102,711900
