Node_ID,Cumulative_Length_ft,Elevation_Smoothen_ft,x_coordinate,y_coordinate,Curve_degree,Station,Intersection,Switch,Switch_if
349,17450,806.4389286,-79.7467,36.0808,0.00018,,,,0
350,17500,806.0835286,-79.7466,36.08087,0,,,,0
351,17550,805.7885429,-79.7464,36.08093,0.00062,,,,0
352,17600,805.5266143,-79.7463,36.08099,0.00106,,,,0
353,17650,805.5459286,-79.7462,36.08106,0.00106,,,,0
354,17700,806.0692714,-79.7461,36.08112,0.00062,,,,0
355,17750,806.7119,-79.746,36.08118,0.00018,,,,0
356,17800,807.0993571,-79.7459,36.08125,0.00018,,,,0
357,17850,807.4596143,-79.7458,36.08131,0,,,,0
358,17900,807.9862571,-79.7457,36.08137,0.00062,,,,0
359,17950,808.5915143,-79.7455,36.08144,0.00106,,,,0
360,18000,808.9515,-79.7454,36.0815,0.00044,,,,0
361,18050,809.0409571,-79.7453,36.08156,0.00062,,,,0
362,18100,809.0284143,-79.7452,36.08163,0.00106,,,,0
363,18150,809.3565714,-79.7451,36.08169,4.42546,,,,0
364,18200,809.6395857,-79.745,36.08175,0.96356,,,,0
365,18250,809.6537857,-79.7449,36.08181,0.00064,,,,0
366,18300,809.2117429,-79.7448,36.08187,0.00024,,,,0
367,18350,808.7888571,-79.7446,36.08193,0.0004,,,,0
368,18400,807.9497429,-79.7445,36.08199,0,,,,0
369,18450,807.0135429,-79.7444,36.08205,0,,,,0
370,18500,806.1928857,-79.7443,36.0821,0,,,,0
371,18550,805.4683714,-79.7442,36.08216,0,,,,0
372,18600,804.8688857,-79.7441,36.08222,0,,,,0
373,18650,804.8612143,-79.7439,36.08228,0.00064,,,,0
374,18700,805.1901857,-79.7438,36.08234,0.00024,,,,0
375,18750,805.9741,-79.7437,36.0824,0.0004,,,,0
376,18800,806.8581429,-79.7436,36.08246,0,,,,0
377,18850,807.4733857,-79.7435,36.08252,0,,,,0
378,18900,807.9387,-79.7434,36.08258,0,,,,0
379,18950,808.2709286,-79.7432,36.08264,0,,,,0
380,19000,808.3263143,-79.7431,36.0827,0.00064,,,,0
381,19050,808.0916286,-79.743,36.08275,3.02356,,,,0
382,19100,807.7870286,-79.7429,36.08281,0.88536,,,,0
383,19150,807.6166,-79.7428,36.08287,0,,,,0
384,19200,807.6164143,-79.7427,36.08292,0.00066,,,,0
385,19250,807.7504714,-79.7425,36.08298,0.00066,,,,0
386,19300,807.9621714,-79.7424,36.08303,0,,,,0
387,19350,808.2187857,-79.7423,36.08309,3.9199,,,,0
388,19400,808.3838714,-79.7422,36.08314,10.09038,,,,0
389,19450,808.3913857,-79.7421,36.08319,0,,,,0
390,19500,808.3050286,-79.7419,36.08323,0,,,,0
391,19550,808.2034143,-79.7418,36.08327,0,,,,0
392,19600,808.1041857,-79.7417,36.08332,0,,,,0
393,19650,808.0555286,-79.7416,36.08336,0,,,,0
394,19700,808.0273143,-79.7414,36.08341,0.79684,,,,0
395,19750,808.0269571,-79.7413,36.08345,5.12398,,,,0
396,19800,808.0752429,-79.7412,36.08349,0,,,,0
397,19850,808.1480857,-79.7411,36.08353,0,,,,0
398,19900,808.3169,-79.7409,36.08356,0,,,,0
399,19950,808.5689714,-79.7408,36.0836,0,,,,0
400,20000,808.7178714,-79.7407,36.08364,3.40372,,,,0
401,20050,808.8736429,-79.7405,36.08368,0.6846,,,,0
402,20100,809.0453714,-79.7404,36.08371,0.00072,,,,0
403,20150,809.1860429,-79.7403,36.08375,0,,,,0
404,20200,809.3359,-79.7401,36.08378,0,,,,0
405,20250,809.4184,-79.74,36.08382,0.00072,,,,0
406,20300,809.4112571,-79.7399,36.08385,0.00072,,,,0
407,20350,809.4987143,-79.7398,36.08389,3.23708,,,,0
408,20400,809.5543857,-79.7396,36.08392,4.92136,,,,0
409,20450,809.5891286,-79.7395,36.08394,0.00074,,,,0
410,20500,809.6196714,-79.7394,36.08397,0,,,,0
411,20550,809.6426143,-79.7392,36.084,0.00074,,,,0
412,20600,809.6384857,-79.7391,36.08403,0.00054,,,,0
413,20650,809.6562286,-79.739,36.08405,0.0002,,,,0
414,20700,809.6286,-79.7388,36.08408,0.00074,,,,0
415,20750,809.5069429,-79.7387,36.08411,3.74036,,,,0
416,20800,809.2521,-79.7386,36.08413,5.69416,,,,0
417,20850,808.9565857,-79.7384,36.08415,0.00076,,,,0
418,20900,808.6010571,-79.7383,36.08417,0.00062,,,,0
419,20950,808.2088429,-79.7382,36.08419,0.00014,,,,0
420,21000,807.9092143,-79.738,36.0842,0.00088,,,,0
421,21050,807.6896571,-79.7379,36.08422,2.12036,,,,0
422,21100,807.6807429,-79.7378,36.08424,2.60144,,,,0
423,21150,807.7481143,-79.7376,36.08425,0.00084,,,,0
424,21200,807.9517286,-79.7375,36.08427,0,,,,0
425,21250,807.8513143,-79.7373,36.08428,0,,,,0
426,21300,807.7929143,-79.7372,36.08429,0,,,,0
427,21350,807.4177,-79.7371,36.08431,0.63346,,,,0
428,21400,806.8480429,-79.7369,36.08432,1.15754,,,,0
429,21450,806.0990143,-79.7368,36.08434,0.0001,,,,0
430,21500,805.4375429,-79.7367,36.08435,0.0001,,,,0
431,21550,804.7842571,-79.7365,36.08437,0.0001,,,,0
432,21600,804.4599143,-79.7364,36.08438,0.0001,,,,0
433,21650,803.9138571,-79.7363,36.0844,0.0001,,,,0
434,21700,803.4842,-79.7361,36.08442,0,,,,0
435,21750,803.2026571,-79.736,36.08443,0.0001,,,,0
436,21800,802.9587571,-79.7359,36.08445,0.0001,,,,0
437,21850,802.7188857,-79.7357,36.08446,0.0001,,,,0
438,21900,802.3926429,-79.7356,36.08448,0.0001,,,,0
439,21950,802.0867714,-79.7354,36.08449,0.0001,,,,0
440,22000,802.0038714,-79.7353,36.08451,0.0001,,,,0
441,22050,802.0316286,-79.7352,36.08452,0,,,,0
