OBJECTID,ORIG_FID,ORIG_LEN,ORIG_SEQ,RASTERVALU,x_coordinate,y_coordinate
6758,1,111206.5024,7298,410.365448,-78.89298572,35.98559509
6759,1,111221.7424,7299,410.3746338,-78.8928651,35.98554269
6760,1,111236.9825,7300,410.735321,-78.89274412,35.98549084
6761,1,111252.2225,7301,411.0757751,-78.89262264,35.98543976
6762,1,111267.4625,7302,412.1399536,-78.89250116,35.98538868
6763,1,111282.7026,7303,411.5674438,-78.89237969,35.98533759
6764,1,111297.9426,7304,411.859375,-78.89225821,35.98528651
6765,1,111313.1826,7305,411.9893494,-78.89213673,35.98523542
6766,1,111328.4227,7306,412.207428,-78.89201525,35.98518434
6767,1,111343.6627,7307,413.0355225,-78.89189004,35.98513986
6768,1,111358.9027,7308,413.1699219,-78.89176285,35.98509887
6769,1,111374.1427,7309,413.6567383,-78.89163566,35.98505789
6770,1,111389.3828,7310,413.7724609,-78.89150848,35.9850169
6771,1,111404.6228,7311,413.8622131,-78.89138402,35.98497107
6772,1,111419.8628,7312,414.2265625,-78.89126251,35.98492004
6773,1,111435.1029,7313,414.4289856,-78.891141,35.98486901
6774,1,111450.3429,7314,414.5314331,-78.89101948,35.98481798
6775,1,111465.5829,7315,414.655304,-78.89089797,35.98476695
6776,1,111480.823,7316,414.7359009,-78.89077645,35.98471592
6777,1,111496.063,7317,414.7778931,-78.89065494,35.98466489
6778,1,111511.303,7318,414.8044128,-78.89053343,35.98461386
6779,1,111526.5431,7319,414.8356018,-78.89041191,35.98456283
6780,1,111541.7831,7320,414.8908691,-78.8902904,35.9845118
6781,1,111557.0231,7321,414.7956848,-78.89016889,35.98446077
6782,1,111572.2631,7322,414.7364197,-78.89004737,35.98440974
6783,1,111587.5032,7323,414.7575684,-78.88992586,35.98435871
6784,1,111602.7432,7324,414.7799988,-78.88980435,35.98430769
6785,1,111617.9832,7325,414.5674133,-78.88968283,35.98425666
6786,1,111633.2233,7326,402.6399231,-78.88956132,35.98420563
6787,1,111648.4633,7327,396.6055603,-78.88943985,35.98415452
6788,1,111663.7033,7328,409.7668152,-78.88931859,35.9841031
6789,1,111678.9434,7329,414.0151978,-78.88919732,35.98405169
6790,1,111694.1834,7330,413.7954712,-78.88907606,35.98400027
6791,1,111709.4234,7331,413.5016479,-78.8889548,35.98394885
6792,1,111724.6634,7332,413.234375,-78.88883354,35.98389743
6793,1,111739.9035,7333,412.8460999,-78.88871228,35.98384601
6794,1,111755.1435,7334,412.462738,-78.88859101,35.98379459
6795,1,111770.3835,7335,412.2755432,-78.88846975,35.98374317
