OBJECTID,x_coordinate,y_coordinate,Direction,Arc_Angle,Arc_Temp,Arc_straddle,Arc_Angle_All
266,-78.2771,35.53082,304.1266,0,good,360,0
267,-78.2772,35.53088,304.1266,0,good,360,0
268,-78.2773,35.53094,304.1266,0,good,360,0
269,-78.2774,35.531,304.1263,0.0006,good,359.9994,0.0006
270,-78.2775,35.53107,304.1266,0.0006,good,359.9994,0.0006
271,-78.2776,35.53113,304.1266,0,good,360,0
272,-78.2777,35.53119,304.1266,0,good,360,0
273,-78.2779,35.53125,304.1266,0,good,360,0
274,-78.278,35.53132,304.1266,0,good,360,0
275,-78.2781,35.53138,304.1266,0,good,360,0
276,-78.2782,35.53144,304.1266,0,good,360,0
277,-78.2783,35.5315,304.1266,0,good,360,0
278,-78.2784,35.53157,304.1266,0,good,360,0
279,-78.2785,35.53163,304.1266,0,good,360,0
280,-78.2786,35.53169,304.1266,0,good,360,0
281,-78.2788,35.53175,304.1266,0,good,360,0
282,-78.2789,35.53182,304.1266,0,good,360,0
283,-78.279,35.53188,304.1266,0,good,360,0
284,-78.3223,35.56194,304.1266,0,good,360,0
285,-78.3224,35.56204,304.1263,0.0006,good,359.9994,0.0006
286,-78.3225,35.56213,304.1266,0.0006,good,359.9994,0.0006
287,-78.3225,35.56223,304.1266,0,good,360,0
288,-78.3226,35.56233,304.1266,0,good,360,0
289,-78.3227,35.56242,304.1266,0,good,360,0
290,-78.3227,35.56252,304.1266,0,good,360,0
291,-78.3228,35.56261,304.1266,0,good,360,0
292,-78.3229,35.5627,304.1266,0,good,360,0
293,-78.323,35.56279,304.1266,0,good,360,0
294,-78.3231,35.56289,304.1266,0,good,360,0
295,-78.3231,35.56298,304.1266,0,good,360,0
296,-78.3232,35.56307,304.1266,0,good,360,0
297,-78.3233,35.56316,304.1266,0,good,360,0
298,-78.3039,35.54563,304.1266,0,good,360,0
299,-78.304,35.54569,304.1266,0,good,360,0
300,-78.3041,35.54576,304.1266,0,good,360,0
301,-78.3043,35.54582,304.1263,0.0006,good,359.9994,0.0006
302,-78.3044,35.54588,304.123,0.0066,good,359.9934,0.0066
303,-78.3045,35.54594,304.1206,0.0048,good,359.9952,0.0048
304,-78.3046,35.54601,304.1206,0,good,360,0
305,-78.3047,35.54607,304.1208,0.0003999999999,good,359.9996,0.0003999999999
306,-78.3048,35.54613,304.1206,0.0003999999999,good,359.9996,0.0003999999999
307,-78.3049,35.54619,304.1206,0,good,360,0
308,-78.305,35.54626,304.1206,0,good,360,0
309,-78.3052,35.54632,304.1206,0,good,360,0
310,-78.3053,35.54638,304.1211,0.001,good,359.999,0.001
311,-78.3054,35.54644,304.1206,0.001,good,359.999,0.001
312,-78.3055,35.54651,304.1206,0,good,360,0
313,-78.3056,35.54657,304.1206,0,good,360,0
314,-78.3057,35.54663,304.1206,0,good,360,0
315,-78.3058,35.54669,304.1939,0.1466,good,359.8534,0.1466
316,-78.306,35.54676,304.4461,0.5044,good,359.4956,0.5044
317,-78.3061,35.54682,304.4455,0.0012,good,359.9988,0.0012
318,-78.3062,35.54688,304.4458,0.0006000000001,good,359.9994,0.0006000000001
319,-78.3063,35.54694,304.4457,0.0002000000001,good,359.9998,0.0002000000001
320,-78.3064,35.54701,304.4458,0.0002000000001,good,359.9998,0.0002000000001
321,-78.3065,35.54707,304.4458,0,good,360,0
322,-78.3066,35.54713,304.4457,0.0002000000001,good,359.9998,0.0002000000001
323,-78.3067,35.54719,304.4458,0.0002000000001,good,359.9998,0.0002000000001
324,-78.3069,35.54726,304.4455,0.0006000000001,good,359.9994,0.0006000000001
325,-78.307,35.54732,304.4458,0.0006000000001,good,359.9994,0.0006000000001
