ORIG_SEQ,RASTERVALU,x_coordinate,y_coordinate
391,599.6195068,-79.14284449,36.07242156
392,593.255249,-79.14106547,36.07255192
393,586.2365112,-79.1392875,36.07269128
394,581.463562,-79.13750968,36.07283197
395,576.6325073,-79.13573211,36.0729747
396,517.2946167,-79.13395463,36.07311815
397,569.8931274,-79.13217378,36.07321819
398,565.5828247,-79.13042238,36.07296585
399,553.4875488,-79.12884402,36.07230367
400,562.5097046,-79.12747352,36.07138255
401,565.6018677,-79.12618739,36.07038137
402,567.9212646,-79.12475578,36.0695268
403,561.4811401,-79.12304886,36.06913214
404,556.0488892,-79.12127996,36.0692664
405,548.5344849,-79.11955646,36.06964594
406,547.2098999,-79.11783296,36.07002548
407,543.2977295,-79.11611092,36.0704093
408,535.8225098,-79.11439847,36.07082019
409,533.0249634,-79.11268022,36.07121435
410,530.0678711,-79.11093318,36.07150881
411,529.9776001,-79.10915182,36.07158917
412,531.2509766,-79.10736889,36.07152743
413,536.164917,-79.10559534,36.07136686
414,541.5709839,-79.1038785,36.07097963
415,547.4293213,-79.10231701,36.07028113
416,547.5280762,-79.10078791,36.06953481
417,550.947998,-79.09927655,36.06876513
418,554.842041,-79.09776518,36.06799544
419,559.2409058,-79.09625382,36.06722575
420,566.3023071,-79.09474029,36.06645921
421,573.9900513,-79.09333024,36.06557485
422,575.3112793,-79.09242517,36.06434214
423,573.3438721,-79.09198689,36.06294925
424,573.2672119,-79.09190516,36.06150762
425,575.4807129,-79.09146327,36.06011453
426,576.4777832,-79.09070905,36.05880624
427,575.1583252,-79.08992385,36.05750914
428,580.5879517,-79.08895342,36.05629852
429,577.8388672,-79.0875735,36.05540471
430,587.0154419,-79.08598808,36.05474097
431,593.6507568,-79.08434791,36.05416886
432,598.3795776,-79.08269929,36.05361311
433,604.6837158,-79.08101695,36.05313123
434,608.8258057,-79.07928503,36.05278165
435,605.8391724,-79.07752138,36.0525523
436,597.5625,-79.07577093,36.05226742
437,594.9338989,-79.07411523,36.05174644
438,576.4282227,-79.07278111,36.0508
439,582.5805664,-79.07162078,36.04970261
440,578.8354492,-79.07053389,36.0485567
441,574.7023315,-79.06945848,36.04740348
442,571.1623535,-79.06838035,36.04625199
443,577.0991821,-79.06722861,36.04514799
444,564.4504395,-79.06604368,36.04406792
445,559.5289917,-79.06474324,36.04307769
446,553.7424927,-79.06345409,36.04207798
447,550.6583862,-79.06215868,36.04108369
448,545.71875,-79.06084167,36.04010801
449,543.5877075,-79.05950837,36.03914692
450,541.7889404,-79.05820015,36.03816339
451,541.5855713,-79.05687529,36.03719453
452,538.7331543,-79.05542962,36.03635716
453,531.9927979,-79.05373295,36.03593975
454,525.864502,-79.05196385,36.03602488
455,521.5686646,-79.0503886,36.03668909
456,515.6494141,-79.0489139,36.03750398
457,511.0280151,-79.047439,36.03831889
458,505.8730774,-79.0459702,36.03914081
459,498.4373474,-79.04450587,36.03996617
460,495.9597168,-79.04284635,36.04047783
461,489.8088379,-79.0410713,36.0406063
462,486.3700562,-79.03932879,36.04031292
463,476.3885803,-79.03774929,36.03965704
464,476.4746704,-79.03640183,36.03872037
465,473.6369629,-79.03521875,36.03763902
466,470.8026428,-79.03400384,36.03658344
467,472.038269,-79.03248879,36.03583787
468,479.1296692,-79.03085195,36.0352601
469,482.6936646,-79.02917322,36.03476636
470,480.3184204,-79.02749307,36.03427584
471,474.3826294,-79.02576416,36.0339329
472,469.9243469,-79.02399054,36.03376564
473,465.7830505,-79.02220867,36.03366382
474,461.3439941,-79.02044005,36.03348028
475,450.7078552,-79.01881626,36.0328848
476,445.7188721,-79.01721221,36.0322491
477,450.1565552,-79.01562441,36.03158727
478,454.8690491,-79.01403717,36.03092453
479,455.0644531,-79.01245608,36.03025278
480,450.6745911,-79.0108643,36.0295984
481,450.9520874,-79.0092535,36.02897392
482,452.2787781,-79.00763188,36.02836873
483,456.4899902,-79.00594768,36.02789839
484,460.5264587,-79.00417299,36.02775269
485,464.3554077,-79.0024066,36.02794464
486,469.2374268,-79.00070896,36.02838724
487,471.9913635,-78.99910358,36.02901949
488,477.5501404,-78.99752565,36.02969521
489,481.274231,-78.99585156,36.03018314
490,485.5857849,-78.99408339,36.03037666
491,489.4237671,-78.99230307,36.03028207
492,492.6579895,-78.99055899,36.02997715
493,495.0010071,-78.98882714,36.02962326
494,498.0249329,-78.98709415,36.02927291
495,501.6952209,-78.98536253,36.02891816
496,503.764801,-78.98363152,36.02856147
497,500.6358032,-78.98189987,36.02820686
498,496.5461731,-78.9801624,36.02787135
499,492.4914246,-78.97842103,36.02754931
500,489.0176392,-78.97668655,36.02720385
501,483.469696,-78.97493497,36.02692719
502,478.4338379,-78.97315269,36.02689458
503,473.4677429,-78.97139774,36.02713556
504,470.2589111,-78.96971997,36.02762482
505,467.9106445,-78.96824306,36.02843402
506,463.3911743,-78.96681138,36.02929754
507,459.969696,-78.96522051,36.02993999
508,453.9394226,-78.96344675,36.03002231
509,453.914856,-78.96174312,36.02962333
510,447.9248352,-78.96034103,36.02874231
511,447.5733032,-78.95936055,36.02754115
512,441.5991516,-78.958597,36.02623537
513,436.7496643,-78.95781141,36.02493789
514,429.7832336,-78.95706245,36.02362659
515,427.9715576,-78.95610344,36.02241272
516,423.9004211,-78.95480785,36.02142057
517,420.4623108,-78.95341182,36.02051919
518,418.2105408,-78.95200766,36.0196261
519,416.7746887,-78.95058095,36.01875803
520,414.0491333,-78.94901235,36.01807786
521,411.8544617,-78.94728534,36.01771194
522,413.7005005,-78.94555176,36.01736344
523,414.2934265,-78.9438165,36.01702083
524,418.9602356,-78.9420695,36.01671936
525,420.9167786,-78.94033267,36.01638164
526,422.1898193,-78.9385959,36.01604369
527,424.2175293,-78.9369484,36.01550552
528,426.0203857,-78.93552738,36.01463813
529,427.4730225,-78.93444267,36.01349558
530,427.6099854,-78.93350859,36.01226407
531,426.6185303,-78.93259517,36.01102231
532,419.3209839,-78.93161675,36.00981379
533,417.3676453,-78.93043658,36.00873875
534,418.4060364,-78.92904086,36.0078369
535,420.9300232,-78.92746261,36.00717374
536,421.4778137,-78.92575497,36.0067559
537,416.6903381,-78.92400508,36.00646727
538,401.1317749,-78.92226461,36.00614273
539,413.6828308,-78.92054928,36.00574044
540,412.4477234,-78.91894675,36.00511222
541,410.8777466,-78.91743397,36.00434411
542,410.8015442,-78.91593662,36.00355609
543,412.243103,-78.91447178,36.00273259
544,411.0103455,-78.91328665,36.00165867
545,406.7147827,-78.91214042,36.00055094
546,398.0056458,-78.91083831,35.99956455
547,400.9780884,-78.90942308,35.99868416
548,399.5236816,-78.90795323,35.99786304
549,393.5581055,-78.90647892,35.99704701
550,394.7423401,-78.90500822,35.99622675
551,390.5386047,-78.9035424,35.99540076
552,390.0254822,-78.90207292,35.99457902
553,389.9502563,-78.90062181,35.99373677
554,386.4806213,-78.89924709,35.99281527
555,389.3268127,-78.89813561,35.99168749
556,393.7175293,-78.89729868,35.99041223
557,397.0127258,-78.89661604,35.98907694
558,402.4793091,-78.89588024,35.9877606
559,405.9202576,-78.89480312,35.98661401
560,409.8532104,-78.89336549,35.98576352
561,413.2279968,-78.89177758,35.98510362
562,414.7801208,-78.89017713,35.98446423
563,412.4746704,-78.88859342,35.98379561
564,407.6321716,-78.88700778,35.98313001
565,405.2633057,-78.88542361,35.98246208
566,404.6213989,-78.88384101,35.98179171
567,405.3447266,-78.88226615,35.98110959
568,406.8734436,-78.88068517,35.98043684
569,409.7235107,-78.87910076,35.97976924
570,410.0363464,-78.87751635,35.97910165
571,407.1036072,-78.87590753,35.97847504
572,402.6634521,-78.87436077,35.97775326
573,398.7103271,-78.87294824,35.97686917
574,393.3662415,-78.87161028,35.97591153
575,389.743866,-78.87027625,35.97495013
576,391.8564453,-78.86893953,35.97399118
577,395.145813,-78.86757842,35.97305496
578,396.3978271,-78.86622322,35.97211346
579,393.442749,-78.86484237,35.97119635
580,390.9679565,-78.86347649,35.97026466
581,394.4200134,-78.86213152,35.96931369
582,397.4021912,-78.86097122,35.96821868
583,400.9975586,-78.85996324,35.96702521
584,404.032959,-78.85897112,35.96582297
585,404.4237061,-78.85797078,35.96462521
586,406.3973083,-78.85699292,35.96341526
587,408.9401245,-78.85606909,35.96217791
588,408.4082031,-78.85527729,35.96088372
589,405.6978455,-78.85470892,35.95951307
590,405.1954346,-78.85411994,35.95814804
591,403.9961548,-78.8535272,35.95678402
592,402.2927246,-78.85293446,35.95541998
593,395.6338196,-78.85241973,35.95403831
594,398.2640991,-78.85165853,35.95273154
595,397.8317566,-78.85061669,35.95156335
596,394.4098816,-78.8493884,35.95051341
597,389.5713501,-78.84835745,35.94933681
598,383.6514282,-78.84779511,35.94797169
599,381.4315186,-78.84763277,35.94653635
600,375.1999817,-78.84801122,35.94512707
601,371.9683533,-78.84859872,35.94376152
602,374.8232727,-78.84909701,35.94237376
603,379.8561096,-78.84928377,35.94093763
604,382.2139282,-78.84933198,35.93949206
605,379.0736084,-78.849391,35.93804698
606,379.3026123,-78.84961706,35.93661554
607,379.4736633,-78.85013078,35.93523065
608,375.9836731,-78.85073778,35.93387035
609,372.6635742,-78.85132312,35.93250395
610,372.2888184,-78.85181706,35.93111466
611,372.600647,-78.85220534,35.9297046
612,370.8413086,-78.85236926,35.92826559
613,368.6741028,-78.85239815,35.92681934
614,366.4606934,-78.85242236,35.92537295
615,367.9839783,-78.85242006,35.92392643
616,369.8956909,-78.85242711,35.9224799
617,374.0150757,-78.85244694,35.9210334
618,378.7485352,-78.85247875,35.91958703
619,378.1018677,-78.85252041,35.91814085
620,374.3943176,-78.85254484,35.91669432
621,371.0452881,-78.85257754,35.9152479
622,367.8102112,-78.85259331,35.91380123
623,363.887146,-78.85261128,35.91235455
624,360.7472229,-78.85263561,35.91090791
625,360.6028442,-78.85266884,35.90946137
626,359.0850525,-78.85268896,35.90801463
627,359.1596375,-78.85272075,35.90656803
628,358.8720093,-78.852755,35.90512153
629,356.1474304,-78.85275543,35.90367462
630,356.8318481,-78.85265912,35.90223043
631,357.1883545,-78.8522481,35.90082554
632,358.0739136,-78.8516597,35.89945949
633,361.4841003,-78.85106743,35.89809441
634,367.2105408,-78.85047685,35.89672882
635,370.6057129,-78.84994654,35.89534723
636,377.5997009,-78.84960959,35.89392885
637,381.8972168,-78.84963691,35.89248486
638,386.4353027,-78.84994563,35.89105987
639,392.5247498,-78.85029628,35.88964086
640,396.9170837,-78.8505652,35.8882114
641,399.3009644,-78.85068964,35.88676785
642,402.1658936,-78.85086233,35.88532798
643,404.8366699,-78.85120831,35.88390961
644,406.122406,-78.85180266,35.8825453
645,405.3580933,-78.85247826,35.88120559
646,401.2133484,-78.85316521,35.87986955
647,396.6984558,-78.85384537,35.87853121
648,393.7448425,-78.85449387,35.87718272
649,390.5308228,-78.85489368,35.87577797
650,389.92276,-78.85477804,35.87433737
651,384.7598572,-78.85411964,35.87300019
652,388.7322998,-78.85326587,35.87172876
653,390.800415,-78.85239839,35.87046338
654,393.855957,-78.85150418,35.8692103
655,397.0604553,-78.85060607,35.867959
656,394.960022,-78.84970794,35.86670768
657,391.6776123,-78.8488098,35.86545635
658,387.7269287,-78.84791166,35.86420501
659,386.7732849,-78.8470266,35.86294754
660,388.8672485,-78.84613909,35.8616912
661,387.6172791,-78.84524246,35.86043908
662,382.0784912,-78.84437412,35.85917422
663,376.907074,-78.84368029,35.85784381
664,373.0332642,-78.84330043,35.85643015
