Date,Train Number,CCU,Coach,Loco
3/8/2024,75,,5,2
3/9/2024,71,,4,2
3/9/2024,73,,5,2
3/9/2024,75,,5,2
3/10/2024,71,,4,2
3/10/2024,73,,5,2
3/10/2024,75,,5,2
3/11/2024,71,,4,2
3/11/2024,73,,4,2
3/11/2024,75,,4,2
3/12/2024,71,,4,2
3/12/2024,73,1,4,1
3/12/2024,75,,4,2
3/13/2024,71,,4,2
3/13/2024,73,1,4,1
3/13/2024,75,1,4,1
3/14/2024,71,1,4,1
3/14/2024,73,,4,1
3/14/2024,75,1,4,1
3/15/2024,71,,4,1
3/15/2024,73,,4,1
3/15/2024,75,1,4,1
3/16/2024,71,1,4,1
3/16/2024,73,1,4,1
3/16/2024,75,1,4,1
3/17/2024,71,,4,2
3/17/2024,73,1,4,1
3/17/2024,75,1,4,1
3/18/2024,71,1,4,1
3/18/2024,73,1,4,1
3/18/2024,75,1,4,1
3/19/2024,71,1,4,1
3/19/2024,73,1,4,1
3/19/2024,75,,4,2
3/20/2024,71,,4,2
3/20/2024,73,1,4,1
3/20/2024,75,1,4,1
3/21/2024,71,,4,2
3/21/2024,73,1,4,1
3/21/2024,75,1,4,1
3/22/2024,71,,4,2
3/22/2024,73,1,4,1
3/22/2024,75,1,4,1
3/23/2024,71,,4,2
3/23/2024,73,,4,1
3/23/2024,75,1,4,1
3/24/2024,71,,4,2
3/24/2024,73,,4,2
3/24/2024,75,1,4,1
3/25/2024,71,,4,2
3/25/2024,73,1,4,1
3/25/2024,75,1,4,1
3/26/2024,71,,4,2
3/26/2024,73,1,4,2
3/26/2024,75,,4,2
3/27/2024,71,,4,2
3/27/2024,73,1,4,1
3/27/2024,75,1,4,1
3/28/2024,71,,4,2
3/28/2024,73,1,4,1
3/28/2024,75,1,4,1
3/29/2024,71,,4,2
3/29/2024,73,1,5,1
3/29/2024,75,1,5,1
3/30/2024,71,,4,2
3/30/2024,73,1,5,1
3/30/2024,75,1,5,1
3/31/2024,71,,4,2
3/31/2024,73,1,5,1
3/31/2024,75,1,5,1
4/1/2024,71,1,4,1
4/1/2024,73,1,4,1
4/1/2024,75,,4,2
4/2/2024,71,,4,2
4/2/2024,73,1,4,1
4/2/2024,75,1,4,1
