Curve_CUR_degree,Curve_Max_FOL_2500ft_degree,Curve_Max_FOL_2k5_5kft_degree,Curve_Max_FOL_5k_7k5ft_degree,Curve_Max_FOL_7k5_10kft_degree,Curve_Max_PRE_2500ft_degree,Curve_Max_PRE_2k5_5kft_degree,Curve_Max_PRE_5k_7k5ft_degree,Curve_Max_PRE_7k5_10kft_degree,Elev_Delta_CUR_ft,Elev_Delta_FOL_2500ft_ft,Elev_Delta_FOL_2k5_5kft_ft,Elev_Delta_FOL_5k_7k5ft_ft,Elev_Delta_FOL_7k5_10kft_ft,Elev_Delta_PRE_2500ft_ft,Elev_Delta_PRE_2k5_5kft_ft,Elev_Delta_PRE_5k_7k5ft_ft,Elev_Delta_PRE_7k5_10kft_ft,Distance_to_FOL_Intersection,Distance_to_FOL_Station,Distance_to_FOL_Switch,Distance_to_PRE_Intersection,Distance_to_PRE_Station,Distance_to_PRE_Switch,Carolinian,Crescent,Piedmont,x_coordinate,y_coordinate
0.0004,11.2558,2.4026,13.277,12.2306,13.9544,7.388,16.09134,13.57834,-0.35801429999997936,7.346828600000038,1.0107856999999854,10.422528600000021,0.18870000000003984,2.147042900000031,2.5017286000000354,1.285971399999994,0.7294713999999658,800,6500,27950,2700,196400,24200,0,0,0,-78.952,36.01961
0.0,11.2558,2.4026,13.277,12.2306,13.9544,9.2752,16.09134,13.57834,-0.326657100000034,7.346828600000038,1.0107856999999854,10.422528600000021,0.3682142999999769,0.31978569999995443,2.5017286000000354,1.285971399999994,0.7294713999999658,750,6450,27900,2750,196450,24250,0,0,0,-78.9519,36.01955
0.0002,11.2558,2.4026,13.277,12.2306,13.9544,9.2752,16.09134,13.57834,-0.31681430000003274,7.346828600000038,1.0107856999999854,10.422528600000021,1.288757099999998,0.0015857000000210064,2.5017286000000354,1.285971399999994,0.7294713999999658,700,6400,27850,2800,196500,24300,0,0,0,-78.9518,36.01948
0.0002,11.2558,2.4026,13.277,12.2306,13.9544,9.2752,16.09134,13.57834,-0.3283000000000129,7.346828600000038,1.0107856999999854,10.422528600000021,1.7203428999999915,0.0015857000000210064,2.5017286000000354,1.285971399999994,0.7294713999999658,650,6350,27800,2850,196550,24350,0,0,0,-78.9517,36.01941
0.0,11.2558,2.4026,13.277,12.2306,13.9544,9.2752,16.09134,13.57834,-0.3478570999999988,7.346828600000038,1.0107856999999854,10.422528600000021,1.8014286000000084,-0.045200000000022555,2.5017286000000354,1.285971399999994,0.7294713999999658,600,6300,27750,2900,196600,24400,0,0,0,-78.9516,36.01934
0.0012,11.2558,2.4026,13.277,12.2306,13.9544,9.2752,16.09134,13.57834,-0.36681429999998727,7.346828600000038,1.0107856999999854,10.422528600000021,1.8482000000000198,-0.17934289999999464,2.5017286000000354,1.285971399999994,0.7294713999999658,550,6250,27700,2950,196650,24450,0,0,0,-78.9514,36.01927
0.0006,11.2558,8.2028,13.277,12.2306,13.9544,9.2752,16.09134,13.57834,-0.27207140000001573,7.346828600000038,1.0107856999999854,10.422528600000021,1.8482000000000198,-0.3066857000000027,2.5017286000000354,1.285971399999994,0.7294713999999658,500,6200,27650,3000,196700,24500,0,0,0,-78.9513,36.0192
0.0004,11.2558,8.2028,13.277,12.2306,13.9544,9.2752,14.6794,16.09134,-0.10925709999997935,7.346828600000038,1.0107856999999854,10.422528600000021,1.8482000000000198,-0.27207140000001573,2.5017286000000354,1.285971399999994,0.7294713999999658,450,6150,27600,3050,196750,24550,0,0,0,-78.9512,36.01913
0.0004,11.2558,8.2028,13.277,12.2306,13.9544,9.2752,14.6794,16.09134,-0.08331429999998363,7.346828600000038,1.0107856999999854,10.422528600000021,1.8482000000000198,-0.10925709999997935,2.5017286000000354,1.285971399999994,0.7294713999999658,400,6100,27550,3100,196800,24600,0,0,0,-78.9511,36.01907
6.834,11.2558,8.2028,13.277,12.2306,13.9544,9.2752,14.6794,16.09134,-0.1233143000000041,7.346828600000038,1.0107856999999854,10.422528600000021,1.8482000000000198,-0.08331429999998363,2.5017286000000354,1.285971399999994,0.7294713999999658,350,6050,27500,3150,196850,24650,0,0,0,-78.951,36.019
1.6652,11.2558,8.2028,13.277,17.824,13.9544,9.2752,14.6794,16.09134,-0.13297149999999647,7.346828600000038,1.0107856999999854,10.422528600000021,1.8482000000000198,-0.08331429999998363,2.5017286000000354,1.285971399999994,0.7294713999999658,300,6000,27450,3200,196900,24700,0,0,0,-78.9509,36.01894
0.0006,11.2558,8.2028,13.277,17.824,6.834,13.9544,14.6794,16.09134,-3.569142900000031,7.346828600000038,1.0107856999999854,10.422528600000021,1.8482000000000198,-0.08331429999998363,2.5017286000000354,1.285971399999994,0.7294713999999658,250,5950,27400,3250,196950,24750,0,0,0,-78.9508,36.01887
0.0006,11.2558,8.2028,13.277,17.824,6.834,13.9544,14.6794,16.09134,-7.468814199999997,7.346828600000038,1.0107856999999854,10.422528600000021,1.8482000000000198,-0.08331429999998363,2.5017286000000354,1.285971399999994,0.4061999999999557,200,5900,27350,3300,197000,24800,0,0,0,-78.9507,36.01881
0.0006,11.2558,8.2028,13.277,17.824,6.834,13.9544,14.6794,16.09134,-7.9742142999999714,7.346828600000038,1.0107856999999854,10.422528600000021,1.8482000000000198,-0.08331429999998363,2.5017286000000354,1.285971399999994,0.2679570999999896,150,5850,27300,3350,197050,24850,0,0,0,-78.9506,36.01875
1.281,11.2558,8.2028,13.277,17.824,6.834,13.9544,14.6794,16.09134,-7.9356857999999875,7.346828600000038,1.0107856999999854,10.422528600000021,1.8482000000000198,-0.08331429999998363,2.5017286000000354,1.285971399999994,0.2679570999999896,100,5800,27250,3400,197100,24900,0,0,0,-78.9505,36.01869
